2026-05-13 16:17:15 | payment_webhook_service.py | WARNING | Duplicate webhook received event_id=evt_auth_016
2026-05-13 16:17:15 | payment_webhook_service.py | WARNING | Duplicate skipped event_id=evt_auth_016
2026-05-13 16:17:15 | payment_webhook_service.py | INFO | Checking duplicate webhook event_id=evt_auth_017
2026-05-13 16:17:15 | payment_webhook_service.py | WARNING | Duplicate webhook received event_id=evt_auth_017
2026-05-13 16:17:15 | payment_webhook_service.py | WARNING | Duplicate skipped event_id=evt_auth_017
2026-05-13 16:17:15 | payment_webhook_service.py | INFO | Checking duplicate webhook event_id=evt_auth_018
2026-05-13 16:17:15 | payment_webhook_service.py | WARNING | Duplicate webhook received event_id=evt_auth_018
2026-05-13 16:17:15 | payment_webhook_service.py | WARNING | Duplicate skipped event_id=evt_auth_018
2026-05-13 16:17:15 | payment_webhook_service.py | INFO | Checking duplicate webhook event_id=evt_auth_019
2026-05-13 16:17:15 | payment_webhook_service.py | WARNING | Duplicate webhook received event_id=evt_auth_019
2026-05-13 16:17:15 | payment_webhook_service.py | WARNING | Duplicate skipped event_id=evt_auth_019
2026-05-13 16:17:15 | payment_webhook_service.py | INFO | Checking duplicate webhook event_id=evt_auth_020
2026-05-13 16:17:15 | payment_webhook_service.py | WARNING | Duplicate webhook received event_id=evt_auth_020
2026-05-13 16:17:15 | payment_webhook_service.py | WARNING | Duplicate skipped event_id=evt_auth_020
2026-05-13 16:17:15 | payment_webhook_service.py | INFO | Bulk webhook processing completed success=0 issues=20
2026-05-13 16:26:24 | payment_webhook_service.py | INFO | Checking duplicate webhook event_id=evt_auth_001
2026-05-13 16:26:24 | payment_webhook_service.py | WARNING | Duplicate webhook received event_id=evt_auth_001
2026-05-13 16:26:24 | payment_webhook_service.py | WARNING | Duplicate skipped event_id=evt_auth_001
2026-05-13 16:26:24 | payment_webhook_service.py | INFO | Checking duplicate webhook event_id=evt_auth_002
2026-05-13 16:26:24 | payment_webhook_service.py | WARNING | Duplicate webhook received event_id=evt_auth_002
2026-05-13 16:26:24 | payment_webhook_service.py | WARNING | Duplicate skipped event_id=evt_auth_002
2026-05-13 16:26:24 | payment_webhook_service.py | INFO | Checking duplicate webhook event_id=evt_auth_003
2026-05-13 16:26:24 | payment_webhook_service.py | WARNING | Duplicate webhook received event_id=evt_auth_003
